No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Amount of Payment Schedule (ex GST),Section of Act application made under,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s22(4)(b) extension of time sought,Determination released,Determination released date,Adjudicated amount (ex GST),Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Region name,Description of work processed,Work category,Adjudicate ratio,Log claimed amount
242,2022-04-11,2022-04-12,"Design, fabrication and supply of steel framing for multi-unit development",3078,53679.39,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,2022-05-09,,No,No,Yes,2022-05-11,53218.0,7260.0,0.1,0.9,726.0,6534.0,No,,,Northern Metropolitan,design fabrication supply steel framing multiunit development,6,0.9914047085855484,10.890784407944633
243,2022-04-11,2022-04-19,Engineering Advisor ,3840,107590.91,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Solicitors,Determined,2022-05-03,,No,No,Yes,2022-05-12,107590.91,1534.09,0.0,1.0,0.0,1534.09,No,,,Eastern Victoria,engineering advisor ,2,1.0,11.58609144358732
244,2022-04-11,2022-04-19,Engineering Advisor ,3840,900000.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,2022-05-03,,No,No,Yes,2022-05-12,900000.0,1636.36,0.0,1.0,0.0,1636.36,No,,,Eastern Victoria,engineering advisor ,2,1.0,13.710150042306449
245,2022-04-11,2022-04-19,Engineering Advisor ,3840,284500.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Solicitors,Determined,2022-05-03,,No,No,Yes,2022-05-12,226500.0,1943.18,0.0,1.0,0.0,1943.18,No,,,Eastern Victoria,engineering advisor ,2,0.7961335676625659,12.558488532548523
246,2022-04-11,,Painting works,3142,37759.7,0.0,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Southern Metropolitan,painting works,0,,10.538997675312622
247,2022-04-11,2022-04-19,Project Director Accelerator Program,3840,14800.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Solicitors,Determined,2022-05-03,,No,No,Yes,2022-05-12,14800.0,1431.82,0.0,1.0,0.0,1431.82,No,,,Eastern Victoria,project director accelerator program,2,1.0,9.602382459752207
248,2022-04-11,2022-04-19,Security Co-ordinator,3840,273000.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,2022-05-03,,No,No,Yes,2022-05-12,273000.0,1534.09,0.0,1.0,0.0,1534.09,No,,,Eastern Victoria,security coordinator,2,1.0,12.517227074167097
249,2022-04-12,2022-04-20,New building ,3044,345454.55,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2022-05-12,,Yes,Yes,Yes,2022-05-16,0.0,7261.36,1.0,0.0,7261.36,0.0,No,,,Northern Metropolitan,new building ,2,0.0,12.752616365056138
250,2022-04-12,2022-04-19,Steel Framing Design and Supply,3125,4920.0,2460.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Consultant,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Southern Metropolitan,steel framing design supply,1,,8.501063809486354
251,2022-04-12,2022-04-20,Structural Steel ,3995,379391.64,63133.87,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-05-05,,Yes,Yes,Yes,2022-05-09,66245.87,25363.64,1.0,0.0,25363.64,0.0,No,,,Eastern Victoria,structural steel ,6,0.17461077951005982,12.846324301448504
252,2022-04-12,2022-04-20,Thermal springs,3939,28264.53,0.0,s.18(1)(a)(i),Trade subcontractor,Trust,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-05-09,,Yes,Yes,Yes,2022-05-19,24452.57,5454.55,0.2,0.8,1090.91,4363.64,No,,,Eastern Victoria,thermal springs,2,0.8651327299622531,10.249362940632203
253,2022-04-14,2022-04-21,Mechanical Services ,3066,38948.0,18765.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-05-06,,No,No,Yes,2022-05-09,0.0,,,,,,No,,,Northern Metropolitan,mechanical services ,2,0.0,10.569982702098647
254,2022-04-14,2022-04-21,Painting works,3004,40000.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Southern Metropolitan,painting works,0,,10.596634733096073
255,2022-04-14,2022-04-22,Structural Steel Fabrication ,3356,19884.95,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-04-29,,No,No,Yes,2022-05-10,18017.94,1980.0,0.0,1.0,0.0,1980.0,Yes,300.0,2022-06-01,Western Victoria,structural steel fabrication ,6,0.906109394290657,9.897718443180496
256,2022-04-19,2022-04-20,Concreting works,3806,15624.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Sole Trader,None,Determined,2022-05-04,,No,No,Yes,2022-05-05,15624.0,1200.0,0.0,1.0,0.0,1200.0,Yes,0.0,2022-05-17,South-Eastern Metropolitan,concreting works,0,1.0,9.656563472556515
257,2022-04-19,2022-04-20,Construction works,3438,310802.05,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2022-05-03,,Yes,Yes,Yes,2022-05-03,298700.13,24640.0,0.25,0.75,6160.0,18480.0,No,,,Northern Victoria,construction works,0,0.9610622902905563,12.646911493335473
258,2022-04-20,2022-04-26,Design and construct contract,3000,34409879.0,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2022-05-16,,Yes,Yes,Yes,2022-05-20,11073883.0,47454.55,0.0,1.0,0.0,47454.55,No,,,Northern Metropolitan,design construct contract,2,0.3218227823468952,17.353854261347834
259,2022-04-20,2022-04-26,Roofing works,3820,33487.42,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-05-09,,No,Yes,Yes,2022-05-09,0.0,500.0,1.0,0.0,500.0,0.0,No,,,Eastern Victoria,roofing works,0,0.0,10.418925124898909
260,2022-04-20,2022-04-26,Roofing works,3820,17611.81,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-05-09,,No,Yes,Yes,2022-05-09,5220.9,3500.0,0.0,1.0,0.0,3500.0,No,,,Eastern Victoria,roofing works,0,0.2964431253800716,9.77632497871843
261,2022-04-21,,Joinery works,3201,1153.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,South-Eastern Metropolitan,joinery works,0,,7.050122520269059
262,2022-04-22,2022-04-26,Painting works,3163,34327.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Southern Metropolitan,painting works,0,,10.443687495508296
263,2022-04-26,2022-04-27,Demolition works,3004,499412.4,184591.32,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-05-18,,Yes,Yes,Yes,2022-05-18,499412.4,33300.0,0.25,0.72,8325.0,24975.0,Yes,0.0,2022-05-26,Southern Metropolitan,demolition works,0,1.0,13.12118748631531
264,2022-04-26,2022-04-29,Provision Of Carpentry ,3793,12480.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-05-06,,No,No,Yes,2022-05-06,0.0,,,,,,No,,,Eastern Victoria,provision carpentry ,2,0.0,9.43188264192342
265,2022-04-26,2022-04-28,Structural steel works,3079,39531.53,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-05-11,,No,No,Yes,2022-05-12,37736.07,5000.0,0.5,0.5,2500.0,2500.0,Yes,0.0,2022-05-23,North-Eastern Metropolitan,structural steel works,6,0.9545815707107719,10.5848538603229
266,2022-04-27,,Bored Piers,3053,34242.48,,s.18(1)(b),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Northern Metropolitan,bored piers,2,,10.441222257539302
267,2022-04-27,2022-05-03,Cladding works,3207,333511.26,-52419.6,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,No,,,Southern Metropolitan,cladding works,0,,12.717431906886295
268,2022-04-27,2022-04-28,Supply of precast panels,3066,122720.78,79009.47,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-05-13,,Yes,Yes,Yes,2022-05-13,97433.71,7480.0,0.0,1.0,0.0,7480.0,No,,,Northern Metropolitan,supply precast panels,1,0.7939463064038544,11.717666972513088
269,2022-04-28,2022-05-04,Plumbing and Civil: Design and construction,3059,1529089.97,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Metropolitan,plumbing civil design construction,2,,14.240183325560695
270,2022-04-29,2022-05-02,Cladding works,3011,23862.4,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,None,Developer,Other,None,Determined,2022-05-18,,No,Yes,Yes,2022-05-18,23862.4,2400.0,0.0,1.0,0.0,2400.0,Yes,0.0,2022-05-24,Western Metropolitan,cladding works,0,1.0,10.080059277349475
271,2022-04-29,2022-05-02,Cladding works,3011,23862.4,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,None,Developer,Other,None,Determined,2022-05-16,,No,No,Yes,2022-05-16,23862.4,3500.0,0.0,1.0,0.0,3500.0,Yes,0.0,2022-05-24,Western Metropolitan,cladding works,0,1.0,10.080059277349475
272,2022-05-02,2022-05-04,Steel framing works,3121,56869.09,0.0,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Northern Metropolitan,steel framing works,6,,10.948507238766105
273,2022-05-03,2022-05-04,Electrical works,3658,8745.45,,s.18(1)(b),Head contractor,Pty Ltd Company,None,Developer,Other,None,Determined,2022-05-20,,Yes,Yes,Yes,2022-05-26,8245.45,1200.0,0.0,1.0,0.0,1200.0,No,,,Northern Victoria,electrical works,0,0.942827413111961,9.076288844104772
274,2022-05-03,2022-05-09,Provision of carpentry labour at various sites across Melbourne Victoria ,3089,14619.09,,s.18(1)(b),Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-05-12,,No,No,Yes,2022-05-13,0.0,,,,,,No,,,North-Eastern Metropolitan,provision carpentry labour various sites across melbourne victoria ,2,0.0,9.59008348786451
281,2022-05-06,2022-05-11,Concreting/Surveying ,3004,24867.5,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-05-30,,No,No,Yes,2022-06-01,24867.5,1295.45,0.0,1.0,0.0,1295.45,No,,,Southern Metropolitan,concretingsurveying ,2,1.0,10.12131700902657
282,2022-05-09,2022-05-11,Structural steel works,3122,75649.91,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-05-19,,No,No,Yes,2022-05-19,74614.91,4080.0,0.0,1.0,0.0,4080.0,No,,,Southern Metropolitan,structural steel works,6,0.9863185560961011,11.233871529526436
283,2022-05-11,2022-05-16,Bored Pilling,3146,223440.0,183414.55,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Southern Metropolitan,bored pilling,2,,12.316898200619057
284,2022-05-12,2022-05-13,Cabinetry works,3201,1153.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Sole Trader,None,Determined,2022-05-20,,No,No,Yes,2022-05-20,1153.0,200.0,0.0,1.0,0.0,200.0,No,,,South-Eastern Metropolitan,cabinetry works,0,1.0,7.050122520269059
285,2022-05-12,2022-05-24,Concrete structure works,3057,33000.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2022-05-27,,No,No,Yes,2022-05-30,33000.0,1704.55,0.0,1.0,0.0,1704.55,Yes,300.0,2022-06-20,Northern Metropolitan,concrete structure works,0,1.0,10.404262840448617
286,2022-05-12,2022-05-16,Plumbing works,3806,2610.23,0.0,s.18(1)(a)(i),Trade subcontractor,Trust,None,Major subcontractor,Trust,None,Determined,2022-05-23,,Yes,No,Yes,2022-05-24,2610.23,1200.0,0.0,1.0,0.0,1200.0,Yes,0.0,2022-06-01,South-Eastern Metropolitan,plumbing works,0,1.0,7.867193619039535
287,2022-05-13,2022-05-13,Construction works,3438,50204.82,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2022-05-26,,Yes,Yes,Yes,2022-05-26,48077.32,9680.0,0.0,1.0,0.0,9680.0,No,,,Northern Victoria,construction works,0,0.9576235907229624,10.823866317006841
288,2022-05-16,2022-05-17,Construction works,3931,109858.2,52517.58,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Other,Solicitors,Determined,2022-06-01,,Yes,Yes,Yes,2022-06-01,95308.89,14080.0,0.5,0.5,7040.0,7040.0,No,,,Eastern Victoria,construction works,0,0.8675628218922211,11.606945722273034
289,2022-05-17,2022-05-18,Precast installation works,3012,292049.41,0.0,s.18(1)(b),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,No,No,,,,8800.0,0.5,0.5,4400.0,4400.0,,,,Western Metropolitan,precast installation works,0,,12.584678279264395
290,2022-05-18,,Plumbing Works,3023,73893.66,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Solicitors,Other,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Western Metropolitan,plumbing works,0,,11.210382311645699
291,2022-05-19,2022-05-25,"Plumbing and Civil: Civil stormwater, sewer, water and fire service",3059,656023.07,-7419.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-06-15,,No,Yes,Yes,2022-07-04,443868.67,32670.0,0.0,1.0,0.0,32670.0,No,,,Northern Metropolitan,plumbing civil civil stormwater sewer water fire service,4,0.6766052754821564,13.393951234990784
292,2022-05-19,2022-05-25,Plumbing and Civil: Design and construction,3978,779466.18,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-06-15,,No,Yes,Yes,2022-07-04,537106.7,32670.0,0.0,1.0,0.0,32670.0,No,,,South-Eastern Metropolitan,plumbing civil design construction,2,0.6890699221870022,13.566364579752333
293,2022-05-19,2022-05-23,Shotcrete works,3204,19780.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Southern Metropolitan,shotcrete works,0,,9.892426605176704
294,2022-05-19,2022-05-23,Supply of labour,3000,181347.61,90271.99,s.18(1)(a)(i),Other,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,1840.66,0.5,0.5,920.33,920.33,,,,Northern Metropolitan,supply labour,1,,12.108170965688446
295,2022-05-20,,Architectural Concept Design Services ,3220,9000.0,0.0,s.18(1)(a)(i),Consultant,Pty Ltd Company,None,Other,Other,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Western Victoria,architectural concept design services ,2,,9.104979856318357
296,2022-05-20,,Fit out works,3170,1018109.3,-422118.63,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,South-Eastern Metropolitan,fit works,0,,13.833457837716173
297,2022-05-24,2022-05-27,Carpentry for (various locations),3793,12480.0,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-06-09,,No,No,Yes,2022-06-10,12480.0,2045.45,0.0,1.0,0.0,2045.45,No,,,Eastern Victoria,carpentry various locations,2,1.0,9.43188264192342
298,2022-05-24,2022-05-26,Cutting and Drilling holes instruct. Steel ,3020,23071.0,,s.18(1)(b),Manufacturer of building materials or components,Trust,None,Other,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,No,,,Western Metropolitan,cutting drilling holes instruct steel ,6,,10.046331696565609
299,2022-05-24,2022-05-25,Design and fit out of joinery for mixed development project,3206,11863.64,6220.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,2022-06-01,,Yes,No,Yes,2022-06-01,11863.64,1452.5,0.0,1.0,0.0,1452.5,No,,,Southern Metropolitan,design fit joinery mixed development project,2,1.0,9.381233539459878
300,2022-05-26,,Hire of machine and operator ,3191,9650.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Southern Metropolitan,hire machine operator ,2,,9.174713194333032
301,2022-05-27,2022-05-30,Construction works,3000,415707.6,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,None,Developer,Trust,None,Determined,2022-06-20,,Yes,Yes,Yes,2022-06-20,415707.6,28160.0,0.0,1.0,0.0,28160.0,No,,,Northern Metropolitan,construction works,0,1.0,12.937737407488811
302,2022-05-27,2022-06-01,Shop Fit Out ,3013,33457.96,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-06-17,,Yes,Yes,Yes,2022-06-23,31185.24,4772.73,0.0,1.0,0.0,4772.73,No,,,Western Metropolitan,shop fit ,2,0.932072367831153,10.418045004361788
303,2022-06-06,2022-06-09,Precast supply and installation,3205,33589.04,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-06-21,,Yes,Yes,Yes,2022-06-21,0.0,0.0,0.0,0.0,0.0,0.0,No,,,Southern Metropolitan,precast supply installation,1,0.0,10.42195510226342
304,2022-06-08,2022-06-09,Landscaping works,3188,39691.82,,s.18(1)(b),Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,None,Determined,2022-06-20,,No,No,Yes,2022-06-22,39691.82,3500.0,0.0,1.0,0.0,3500.0,Yes,0.0,2022-06-30,Southern Metropolitan,landscaping works,0,1.0,10.588900400104974
305,2022-06-10,2022-06-15,Concreting works,3142,10265.0,3537.35,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-06-22,,No,No,Yes,2022-06-22,10265.0,1200.0,0.0,1.0,0.0,1200.0,Yes,0.0,2022-07-01,Southern Metropolitan,concreting works,0,1.0,9.236495329453033
306,2022-06-10,2022-06-15,Light gauge steel works,3021,94142.1,0.0,s.18(1)(a)(i),Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Western Metropolitan,light gauge steel works,6,,11.45256062190837
307,2022-06-10,,Site management services,3150,21560.0,5775.0,s.18(1)(a)(i),Project manager,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,North-Eastern Metropolitan,site management services,2,,9.978595025022933
308,2022-06-10,2022-06-15,Supply and delivery of precast panels,3714,82815.5,29597.5,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-06-29,,No,Yes,Yes,2022-06-29,78835.5,5000.0,0.0,1.0,0.0,5000.0,No,,,Northern Victoria,supply delivery precast panels,1,0.9519413636336194,11.324370520921612
310,2022-06-14,,"Metal cladding, cement sheets, metal works ",3186,13625.82,12748.21,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Southern Metropolitan,metal cladding cement sheets metal works ,2,,9.51972180120673
312,2022-06-15,2022-06-21,Supply and Install of mechanical services,3004,114367.42,58656.73,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Southern Metropolitan,supply install mechanical services,1,,11.647171527157612
313,2022-06-20,2022-06-22,Light gauge steel works,3051,70582.1,0.0,s.18(1)(a)(i),Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2022-07-06,,Yes,Yes,Yes,2022-07-07,8450.0,5000.0,0.5,0.5,2500.0,2500.0,No,,,Northern Metropolitan,light gauge steel works,6,0.11971873888705492,11.164531850257873
314,2022-06-21,,Earthworks,3064,251187.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Consultant,Major subcontractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Northern Metropolitan,earthworks,2,,12.433952960644664
315,2022-06-21,,Earthworks,3064,149510.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Consultant,Major subcontractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Northern Metropolitan,earthworks,2,,11.915118559207974
316,2022-06-21,2022-06-22,Structural steel works,3031,84280.0,1735.55,s.18(1)(a)(i),Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Northern Metropolitan,structural steel works,6,,11.341899867918125
317,2022-06-21,2022-06-22,Structural steel works,3031,44710.0,0.0,s.18(1)(a)(i),Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Northern Metropolitan,structural steel works,6,,10.707952469228026
318,2022-06-22,2022-06-23,Concreting works,3195,463390.82,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-07-12,,Yes,Yes,Yes,2022-07-13,241178.42,26400.0,0.5,0.5,13200.0,13200.0,No,,,South-Eastern Metropolitan,concreting works,0,0.5204643890010596,13.046326080684924
